QRA,LRA,CRA,NWR,ATR,ETR,FAT,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,STF,STD,DER,LER,TFD
0.948423541,2.317133822,0.04718632,3.12360441,0.792393702,1.185936408,1.450173681,1.775557793,0.321038414,0.088477151,0.063800257,0.075663047,0.050554922,0.446278744,0.590691081,0.020364089,0.245719071,0.580406621,0.496641623,0.33183541,0.509096417
1.531510834,2.403718068,0.164699435,4.003393495,1.607788746,2.253458987,5.595223605,2.337893057,0.069181376,-0.015434067,0.012137215,0.027350716,0.019514078,0.687708423,0.362857544,0.068518616,0.824346508,0.99852675,0.401588979,0.28652407,0.824346508
1.019658674,1.853397062,0.054520415,4.409486441,0.820399152,1.577801429,1.426569346,2.030348947,0.178589625,0.056123657,0.037824805,0.059680031,0.031031438,0.404068056,0.449843374,0.029416478,0.382724831,0.454163039,0.92321192,0.480036501,0.720452789
0.46094975,1.305744294,0.003111078,4.523057511,0.386111024,0.754078226,0.608601597,1.0590887,-0.053929288,-0.299081231,-0.209355062,-0.157870094,-0.080834298,0.36456911,0.646983141,0.002382609,0.118168937,0.572175189,0.953008794,0.487969536,0.252009712
7.653409091,7.653409091,7.265909091,1.225448335,0.041367103,0.055780145,11.14130435,1.065330364,0.72989547,1.883066202,1.328362369,0.074096245,0.054950504,0.038830306,0,0.949368968,0.019635406,0.019635406,0.348417943,0.258390171,1
10.76095205,10.76095205,4.385262159,0.34071633,0.074481872,0.152354352,39.73724884,0.309054045,0.658200441,0.962569688,0.662919746,0.100998708,0.049375503,0.240999504,0,0.407516188,0.039425657,0.043816361,1.045522603,0.511127377,0.208694502
1.127191681,2.017651045,0.070570579,2.320797909,0.710503395,1.216794334,2.051967324,1.170550489,0.280414561,0.054544549,0.054544549,0.066369498,0.038754087,0.606982272,0.441334673,0.034976603,0.296706278,0.723011519,0.712583488,0.416087562,0.410826568
0.097432831,0.330069021,0.028661303,-0.492359303,0.113987387,0.28537386,14.86938943,0.999326591,0.557370912,0.736854757,0.566533076,0.161673731,0.064577625,0.114064199,0.704810737,0.086834271,0.113123664,0.5754164,1.503556476,0.600568228,0.288187632
0.929688973,1.073138549,0.268614515,45.7757732,0.416875954,0.523568081,0.510725788,3.119796241,0.81724002,0.114239063,0.080344575,0.042065855,0.033493721,0.133622814,0.133672932,0.250307395,0.519120018,0.611034324,0.255932553,0.203778899,0.693964524
0.395625701,0.395625701,0.361243222,-1.502982307,0.059211721,0.082983257,8.015503876,2.296018377,1,0.504735543,0.504735543,0.041884599,0.02988626,0.025788871,0,0.913093415,0.023230005,0.227550648,0.401469489,0.286463805,0.023230005
